,genbank_accessions,genome_id,genome_name,organism_name,taxon_id,genome_status,strain,culture_collection,type_strain,completion_date,bioproject_accession,biosample_accession,refseq_accessions,sequencing_centers,sequencing_status,sequencing_platform,assembly_method,chromosomes,plasmids,genome_length,gc_content,refseq_cds,isolation_source,collection_date,isolation_country,geographic_location,host_name,host_health,comments,assembly_name,assembly_type,assembly_status,refseq_category,source_database,paired_accession,paired_assembly,bioproject_lineage_accessions,bioproject_lineage_titles,biosample_last_updated,biosample_publication_date,biosample_submission_date,biosample_package,biosample_status,biosample_description,biosample_owner,biosample_collected_by,biosample_lat_lon,biosample_sample_ids,biosample_models,biosample_bioprojects,biosample_attributes_json,annotation_name,annotation_provider,annotation_release_date,annotation_gene_total,annotation_gene_non_coding,annotation_gene_other,checkm_marker_set,checkm_marker_set_rank,checkm_version,checkm_completeness,checkm_contamination,checkm_completeness_percentile,checkm_species_tax_id,ani_match_status,ani_category,ani_comment,ani_submitted_match_assembly,ani_submitted_match_ani,ani_submitted_match_organism,assembly_stats_contig_n50,assembly_stats_contig_l50,assembly_stats_gc_count,assembly_stats_genome_coverage,assembly_stats_atgc_count,organism_infraspecific_names_strain,organism_infraspecific_names_isolate,assembly_stats_total_number_of_chromosomes,wgs_project_accession,annotation_count_gene_total,annotation_count_gene_protein_coding,annotation_count_gene_pseudogene,mash_cluster,mlst_source,mlst,isolation_source_l1,isolation_source_l2,serotype
261,GCA_019434135.1,GCF_019434135.1,Pseudomonas aeruginosa UNC_PaerCF12,Pseudomonas aeruginosa,287,Complete,UNC_PaerCF12,,,2021-08-02,PRJNA749299,SAMN20362536,GCF_019434135.1,University of North Carolina at Chapel Hill,OK,Oxford Nanopore GridION,Flye v. 2.8.3-b1705,1,0,6300755,66.5,5655,sputum,2018,USA,USA: NC,Homo sapiens,,,ASM1943413v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_019434135.1,"{'accession': 'GCA_019434135.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA749299,NIH Task A24/A43 Murine Chronic Infection Model,2024-10-09T11:53:24.559,2021-07-23T00:00:00.000,2021-07-23T16:28:55.730,Microbe.1.0,"{'status': 'live', 'when': '2021-07-23T16:28:55.733'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'University of North Carolina at Chapel Hill', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'UNC_PaerCF12'}","Microbe, viral or environmental",PRJNA749299,"[{""name"": ""strain"", ""value"": ""UNC_PaerCF12""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""isolation_source"", ""value"": ""sputum""}, {""name"": ""sample_type"", ""value"": ""cell culture""}, {""name"": ""collection_date"", ""value"": ""2018""}, {""name"": ""geo_loc_name"", ""value"": ""USA: NC""}]",GCF_019434135.1-RS_2024_11_20,NCBI RefSeq,2024-11-20,5878,93,,Pseudomonas aeruginosa,species,v1.2.3,98.4,1.22,15.3506,287,species_match,category_na,na,GCA_001045685.1,98.34,Pseudomonas aeruginosa DSM 50071 = NBRC 12689,6300755,1,4189838,5.0,6300755,UNC_PaerCF12,,1.0,,5878.0,5655.0,130.0,23,PubMLST,1720,human,respiratory,O5
262,GCA_019434235.1,GCF_019434235.1,Pseudomonas aeruginosa PA2207,Pseudomonas aeruginosa,287,Complete,PA2207,,,2021-08-02,PRJNA747884,SAMN20299242,GCF_019434235.1,Zhejiang Provincial People's Hospital,OK,Oxford Nanopore MinION,CLC NGS Cell v. 10.0,2,1,7001812,66.0,6383,feces,2021-02-06,China,China: Zhejiang,Homo sapiens,leukemia,,ASM1943423v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_019434235.1,"{'accession': 'GCA_019434235.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA747884,KPC-90,2021-07-23T12:19:14.173,2021-07-19T00:00:00.000,2021-07-19T07:10:06.993,Pathogen.cl.1.0,"{'status': 'live', 'when': '2021-07-19T15:43:14.921'}","{'title': 'Pathogen: clinical or host-associated sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': ""Zhejiang Provincial People's Hospital"", 'contacts': [{}]}",Xi Li,30.26 N 120.19 E,"{'label': 'Sample name', 'value': 'zhejiang provincial hospital Pseudomonasaeruginosa  PA2207'}",Pathogen.cl,PRJNA747884,"[{""name"": ""strain"", ""value"": ""PA2207""}, {""name"": ""collected_by"", ""value"": ""Xi Li""}, {""name"": ""collection_date"", ""value"": ""2021-02-06""}, {""name"": ""geo_loc_name"", ""value"": ""China: Zhejiang""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""host_disease"", ""value"": ""leukemia""}, {""name"": ""isolation_source"", ""value"": ""feces""}, {""name"": ""lat_lon"", ""value"": ""30.26 N 120.19 E""}]",GCF_019434235.1-RS_2025_09_18,NCBI RefSeq,2025-09-18,6548,80,,Pseudomonas aeruginosa,species,v1.2.4,99.18,1.33,35.0801,287,species_match,category_na,na,GCA_001457615.1,99.38,Pseudomonas aeruginosa,6959874,1,4607675,200.0,7001812,PA2207,,2.0,,6548.0,6383.0,85.0,27,PubMLST,463,human,gastrointestinal,O4
263,GCA_019443665.1,GCF_019443665.1,Pseudomonas aeruginosa 2020HL-00861,Pseudomonas aeruginosa,287,Complete,2020HL-00861,,,2021-08-03,PRJNA288601,SAMN16982406,GCF_019443665.1,Centers for Disease Control and Prevention. Division of Healthcare Quality Promotion,OK,"Illumina NextSeq, Oxford Nanopore MinION",Flye v. 2.8.2,3,2,6704238,66.0,6157,,2020,USA,USA,Homo sapiens,,,ASM1944366v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_019443665.1,"{'accession': 'GCA_019443665.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA288601;PRJNA316430;PRJNA531911;PRJNA965738,CDC HAI-Seq Gram-negative bacteria;CRE Outbreak Evaluation Set;CDC HAI-Seq;CDC DHQP Seq,2020-12-02T13:42:16.580,2020-12-02T00:00:00.000,2020-12-02T13:35:04.983,Microbe.1.0,"{'status': 'live', 'when': '2020-12-02T13:35:04.984'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Wadsworth Center - NYS DOH', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': '2020HL-00861'};{'db': 'SRA', 'value': 'SRS7822885'}","Microbe, viral or environmental",PRJNA288601,"[{""name"": ""strain"", ""value"": ""2020HL-00861""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""collection_date"", ""value"": ""2020""}, {""name"": ""geo_loc_name"", ""value"": ""USA""}, {""name"": ""sample_type"", ""value"": ""whole organism""}, {""name"": ""MLST"", ""value"": ""MLST167 PubMLST""}]",GCF_019443665.1-RS_2025_09_19,NCBI RefSeq,2025-09-19,6293,79,,Pseudomonas aeruginosa,species,v1.2.4,99.6,1.82,75.9636,287,species_match,category_na,na,GCA_024169805.1,99.48,Pseudomonas aeruginosa,6390970,1,4426898,482.0,6704238,2020HL-00861,,3.0,,6293.0,6157.0,57.0,47,PubMLST,167,other,unknown,O6
264,GCA_019466095.1,GCF_019466095.1,Pseudomonas aeruginosa DJ06,Pseudomonas aeruginosa,287,Complete,DJ06,,,2021-08-09,PRJNA751483,SAMN20519545,GCF_019466095.1,Guangxi university,OK,Oxford Nanopore,SOAPdenovo v. SOAPdenovo2,1,0,6490034,66.5,5915,,2020-10-05,China,China: Naning,sugarcane,,,ASM1946609v1,haploid,suppressed,,SOURCE_DATABASE_REFSEQ,GCA_019466095.1,"{'accession': 'GCA_019466095.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA751483,root metagenome strain:DJ06 Genome sequencing,2021-08-02T15:55:34.118,2021-08-02T00:00:00.000,2021-08-02T08:22:03.650,Microbe.1.0,"{'status': 'live', 'when': '2021-08-02T15:55:34.118'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Guangxi university', 'contacts': [{}]}",Daojun guo,not collected,"{'label': 'Sample name', 'value': 'Pseudomonas aeruginosa'}","Microbe, viral or environmental",PRJNA751483,"[{""name"": ""strain"", ""value"": ""DJ06""}, {""name"": ""host"", ""value"": ""sugarcane""}, {""name"": ""collection_date"", ""value"": ""2020-10-05""}, {""name"": ""geo_loc_name"", ""value"": ""China: Naning""}, {""name"": ""sample_type"", ""value"": ""cell culture""}, {""name"": ""altitude"", ""value"": ""not collected""}, {""name"": ""biomaterial_provider"", ""value"": ""not collected""}, {""name"": ""collected_by"", ""value"": ""Daojun guo""}, {""name"": ""depth"", ""value"": ""not collected""}, {""name"": ""env_broad_scale"", ""value"": ""not collected""}, {""name"": ""genotype"", ""value"": ""not collected""}, {""name"": ""host_tissue_sampled"", ""value"": ""sugarcane root""}, {""name"": ""identified_by"", ""value"": ""Daojun guo""}, {""name"": ""lab_host"", ""value"": ""not collected""}, {""name"": ""lat_lon"", ""value"": ""not collected""}, {""name"": ""mating_type"", ""value"": ""not collected""}, {""name"": ""passage_history"", ""value"": ""not collected""}, {""name"": ""samp_size"", ""value"": ""not collected""}, {""name"": ""serotype"", ""value"": ""not collected""}, {""name"": ""serovar"", ""value"": ""not collected""}, {""name"": ""specimen_voucher"", ""value"": ""not collected""}, {""name"": ""temp"", ""value"": ""not collected""}]",GCF_019466095.1-RS_2024_12_16,NCBI RefSeq,2024-12-16,6043,80,,Pseudomonas aeruginosa,species,v1.2.3,99.77,0.49,91.2203,287,species_match,category_na,na,GCA_001045685.1,99.33,Pseudomonas aeruginosa DSM 50071 = NBRC 12689,6490034,1,4305181,98.5,6490034,DJ06,,1.0,,6043.0,5915.0,48.0,67,-,-,other,unknown,O11
265,GCA_019466145.1,GCF_019466145.1,Pseudomonas aeruginosa YY322,Pseudomonas aeruginosa,287,Complete,YY322,,,2021-08-09,PRJNA733651,SAMN19429924,GCF_019466145.1,Shanghai University of Traditional Chinese Medicine,OK,Illumina NovaSeq; PacBio Sequel,HGAP v. v4; CANU v. v1.7.1,1,0,6382345,66.5,5811,,2020-12-26,China,China: Shanghai,,,,ASM1946614v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_019466145.1,"{'accession': 'GCA_019466145.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA733651,Pseudomonas  aeruginosa genome sequencing,2021-05-29T11:01:56.393,2021-05-29T00:00:00.000,2021-05-29T10:33:05.497,MIGS.ba.soil.6.0,"{'status': 'live', 'when': '2021-05-29T10:33:05.498'}","{'title': 'MIGS Cultured Bacterial/Archaeal sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}, 'comment': 'Keywords: GSC:MIxS;MIGS:6.0'}","{'name': 'Shanghai University of Traditional Chinese Medicine', 'contacts': [{}]}",,31.6228 N 121.3976 E,"{'label': 'Sample name', 'value': 'Antagonistic bacteria'}",MIGS.ba;MIGS/MIMS/MIMARKS.soil,PRJNA733651,"[{""name"": ""strain"", ""value"": ""YY322""}, {""name"": ""collection_date"", ""value"": ""2020-12-26""}, {""name"": ""depth"", ""value"": ""10cm""}, {""name"": ""elev"", ""value"": ""2m""}, {""name"": ""env_broad_scale"", ""value"": ""Chongming Island""}, {""name"": ""env_local_scale"", ""value"": ""Saffron planting field""}, {""name"": ""env_medium"", ""value"": ""Rhizosphere soil""}, {""name"": ""geo_loc_name"", ""value"": ""China: Shanghai""}, {""name"": ""isol_growth_condt"", ""value"": ""LB medium""}, {""name"": ""lat_lon"", ""value"": ""31.6228 N 121.3976 E""}, {""name"": ""num_replicons"", ""value"": ""not collected""}, {""name"": ""ref_biomaterial"", ""value"": ""not collected""}]",GCF_019466145.1-RS_2024_10_11,NCBI RefSeq,2024-10-11,5920,79,,Pseudomonas aeruginosa,species,v1.2.3,99.75,0.49,88.8901,287,species_match,category_na,na,GCA_001045685.1,99.41,Pseudomonas aeruginosa DSM 50071 = NBRC 12689,6382345,1,4242142,420.0,6382345,YY322,,1.0,,5920.0,5811.0,30.0,36,BVBRC,788,other,unknown,O6
266,GCA_019710495.1,GCF_019710495.1,Pseudomonas aeruginosa P9W,Pseudomonas aeruginosa,287,Complete,P9W,,,2021-08-21,PRJNA753640,SAMN20702951,GCF_019710495.1,Nankai University,OK,Oxford Nanopore MinION,Canu v. v1.5,3,2,7708846,65.5,7313,burn wound,2018-03-10,China,"China:Tianjin,Affiliated Hospital of Nankai University",Severely burned patient,,,ASM1971049v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_019710495.1,"{'accession': 'GCA_019710495.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA753640,Pseudomonas aeruginosa strain:burn wound | isolate:burn wound Genome sequencing,2021-08-12T13:36:56.788,2021-08-11T00:00:00.000,2021-08-11T03:03:04.050,Microbe.1.0,"{'status': 'live', 'when': '2021-08-11T03:03:04.051'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Nankai University', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'P9W'}","Microbe, viral or environmental",PRJNA753640,"[{""name"": ""strain"", ""value"": ""P9W""}, {""name"": ""isolation_source"", ""value"": ""burn wound""}, {""name"": ""host"", ""value"": ""Severely burned patient""}, {""name"": ""collection_date"", ""value"": ""2018-03-10""}, {""name"": ""geo_loc_name"", ""value"": ""China:Tianjin,Affiliated Hospital of Nankai University""}, {""name"": ""sample_type"", ""value"": ""burn wound""}]",GCF_019710495.1-RS_2024_12_21,NCBI RefSeq,2024-12-21,7558,88,,Pseudomonas aeruginosa,species,v1.2.3,99.82,2.42,94.5445,287,species_match,category_na,na,GCA_008801675.1,99.42,Pseudomonas aeruginosa,7182635,1,5035033,60.71,7708846,P9W,,3.0,,7558.0,7313.0,157.0,96,PubMLST,664,human,wound_skin,O2
267,GCA_019711215.1,GCF_019711215.1,Pseudomonas aeruginosa F092021,Pseudomonas aeruginosa,287,Complete,F092021,,,2021-08-22,PRJNA753283,SAMN20692924,GCF_019711215.1,Beijing Institute of Microbiology and Epidemiology,OK,PacBio RSII,Newbler v. v3.0,3,2,6729633,66.0,6192,,2019,China,China:Henan,Homo sapiens,,,ASM1971121v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_019711215.1,"{'accession': 'GCA_019711215.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA753283,Pseudomonas aeruginosa strain:F092021 Genome sequencing,2021-08-10T09:01:10.470,2021-08-10T00:00:00.000,2021-08-10T08:10:04.240,Microbe.1.0,"{'status': 'live', 'when': '2021-08-10T08:10:04.239'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Beijing Institute of Microbiology and Epidemiology', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'F092021'}","Microbe, viral or environmental",PRJNA753283,"[{""name"": ""strain"", ""value"": ""F092021""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""collection_date"", ""value"": ""2019""}, {""name"": ""geo_loc_name"", ""value"": ""China:Henan""}, {""name"": ""sample_type"", ""value"": ""cell culture""}]",GCF_019711215.1-RS_2024_12_21,NCBI RefSeq,2024-12-21,6342,79,,Pseudomonas aeruginosa,species,v1.2.3,99.75,0.75,88.8901,287,species_match,category_na,na,GCA_008801675.1,99.38,Pseudomonas aeruginosa,6646321,1,4450698,100.0,6729633,F092021,,3.0,,6342.0,6192.0,71.0,99,PubMLST,1976,other,unknown,O11
268,GCA_019720855.1,GCF_019720855.1,Pseudomonas aeruginosa SE5419,Pseudomonas aeruginosa,287,Complete,SE5419,,,2021-08-23,PRJNA753283,SAMN20822586,GCF_019720855.1,Beijing Institute of Microbiology and Epidemiology,OK,PacBio RSII,Newbler v. v3.0,4,3,7335486,65.5,6889,,2013,China,China:Jiangsu,Homo sapiens,,,ASM1972085v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_019720855.1,"{'accession': 'GCA_019720855.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA753283,Pseudomonas aeruginosa strain:F092021 Genome sequencing,2021-08-17T02:24:15.273,2021-08-17T00:00:00.000,2021-08-17T02:24:15.273,Microbe.1.0,"{'status': 'live', 'when': '2021-08-17T02:24:15.273'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Beijing Institute of Microbiology and Epidemiology', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'SE5419'}","Microbe, viral or environmental",PRJNA753283,"[{""name"": ""strain"", ""value"": ""SE5419""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""collection_date"", ""value"": ""2013""}, {""name"": ""geo_loc_name"", ""value"": ""China:Jiangsu""}, {""name"": ""sample_type"", ""value"": ""cell culture""}]",GCF_019720855.1-RS_2024_12_22,NCBI RefSeq,2024-12-22,7059,81,,Pseudomonas aeruginosa,species,v1.2.3,99.71,2.29,86.2452,287,species_match,category_na,na,GCA_001045685.1,99.41,Pseudomonas aeruginosa DSM 50071 = NBRC 12689,6761122,1,4800578,100.0,7335486,SE5419,,4.0,,7059.0,6889.0,89.0,69,PubMLST,697,other,unknown,O11
269,GCA_019720875.1,GCF_019720875.1,Pseudomonas aeruginosa F291007,Pseudomonas aeruginosa,287,Complete,F291007,,,2021-08-23,PRJNA753283,SAMN20821254,GCF_019720875.1,Beijing Institute of Microbiology and Epidemiology,OK,PacBio RSII,Newbler v. v3.0,1,0,6904575,66.0,6305,,2019,China,China:Henan,Homo sapiens,,,ASM1972087v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_019720875.1,"{'accession': 'GCA_019720875.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA753283,Pseudomonas aeruginosa strain:F092021 Genome sequencing,2021-08-16T23:25:23.190,2021-08-16T00:00:00.000,2021-08-16T23:25:23.190,Microbe.1.0,"{'status': 'live', 'when': '2021-08-16T23:25:23.190'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Beijing Institute of Microbiology and Epidemiology', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'F291007'}","Microbe, viral or environmental",PRJNA753283,"[{""name"": ""strain"", ""value"": ""F291007""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""collection_date"", ""value"": ""2019""}, {""name"": ""geo_loc_name"", ""value"": ""China:Henan""}, {""name"": ""sample_type"", ""value"": ""cell culture""}]",GCF_019720875.1-RS_2024_12_22,NCBI RefSeq,2024-12-22,6456,81,,Pseudomonas aeruginosa,species,v1.2.3,99.07,1.15,29.9503,287,species_match,category_na,na,GCA_001045685.1,98.97,Pseudomonas aeruginosa DSM 50071 = NBRC 12689,6904575,1,4557920,100.0,6904575,F291007,,1.0,,6456.0,6305.0,70.0,1,PubMLST,235,other,unknown,O11
270,GCA_019738995.2,GCF_019738995.2,Pseudomonas aeruginosa P8W,Pseudomonas aeruginosa,287,Complete,P8W,,,2022-01-10,PRJNA753640,SAMN20703519,GCF_019738995.2,Nankai University,OK,Oxford Nanopore MinION,Canu v. v1.5,3,2,7364447,65.5,6907,burn wound,2018-03-10,China,"China:Tianjin,Affiliated Hospital of Nankai University",Homo sapiens,,,ASM1973899v2,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_019738995.2,"{'accession': 'GCA_019738995.2', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA753640,Pseudomonas aeruginosa strain:burn wound | isolate:burn wound Genome sequencing,2021-10-27T16:16:43.874,2021-08-11T00:00:00.000,2021-08-11T05:52:05.946,Microbe.1.0,"{'status': 'live', 'when': '2021-08-11T05:52:05.947'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Nankai University', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'P8W'}","Microbe, viral or environmental",PRJNA753640,"[{""name"": ""strain"", ""value"": ""P8W""}, {""name"": ""isolation_source"", ""value"": ""burn wound""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""collection_date"", ""value"": ""2018-03-10""}, {""name"": ""geo_loc_name"", ""value"": ""China:Tianjin,Affiliated Hospital of Nankai University""}, {""name"": ""sample_type"", ""value"": ""burn wound""}]",GCF_019738995.2-RS_2025_06_04,NCBI RefSeq,2025-06-04,7133,84,,Pseudomonas aeruginosa,species,v1.2.3,99.8,1.86,93.5229,287,species_match,category_na,na,GCA_008801675.1,99.42,Pseudomonas aeruginosa,7080376,1,4834604,92.11,7364447,P8W,,3.0,,7133.0,6907.0,142.0,96,PubMLST,664,human,wound_skin,O5
271,GCA_019857245.1,GCF_019857245.1,Pseudomonas aeruginosa SRRSH15,Pseudomonas aeruginosa,287,Complete,SRRSH15,,,2021-09-02,PRJNA672835,SAMN16656078,GCF_019857245.1,"Sir Run Run Shaw Hospital, Zhejiang University",OK,Oxford Nanopore MiniION,Unicycler v. 0.4.8,1,0,6679909,66.0,6127,,2018-01-08,China,China:Hangzhou,Homo sapiens,,,ASM1985724v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_019857245.1,"{'accession': 'GCA_019857245.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA672835,KPC-producing Pseudomonas aeruginosa from 6 Hospitals in China from 2016-2019,2021-06-30T13:33:02.134,2021-06-30T00:00:00.000,2020-11-03T20:44:06.660,MIGS.ba.human-associated.6.0,"{'status': 'live', 'when': '2021-06-30T13:33:02.134'}","{'title': 'MIGS Cultured Bacterial/Archaeal sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}, 'comment': 'Keywords: GSC:MIxS;MIGS:6.0'}","{'name': 'Sir Run Run Shaw Hospital, Zhejiang University', 'contacts': [{}]}",,30.26 N 120.21 E,"{'label': 'Sample name', 'value': 'SRRSH15_hybrid'};{'db': 'SRA', 'value': 'SRS7660939'}",MIGS.ba;MIGS/MIMS/MIMARKS.human-associated,PRJNA672835,"[{""name"": ""strain"", ""value"": ""SRRSH15""}, {""name"": ""collection_date"", ""value"": ""2018-01-08""}, {""name"": ""env_broad_scale"", ""value"": ""not applicable""}, {""name"": ""env_local_scale"", ""value"": ""not applicable""}, {""name"": ""env_medium"", ""value"": ""not applicable""}, {""name"": ""geo_loc_name"", ""value"": ""China:Hangzhou""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""isol_growth_condt"", ""value"": ""not applicable""}, {""name"": ""lat_lon"", ""value"": ""30.26 N 120.21 E""}, {""name"": ""num_replicons"", ""value"": ""1""}, {""name"": ""ref_biomaterial"", ""value"": ""not applicable""}]",GCF_019857245.1-RS_2025_01_01,NCBI RefSeq,2025-01-01,6284,79,,Pseudomonas aeruginosa,species,v1.2.3,98.94,0.49,25.2844,287,species_match,category_na,na,GCA_008801675.1,99.45,Pseudomonas aeruginosa,6679909,1,4419792,154.0,6679909,SRRSH15,,1.0,,6284.0,6127.0,78.0,26,BVBRC,244,other,unknown,O2
272,GCA_019857265.1,GCF_019857265.1,Pseudomonas aeruginosa SRRSH1101,Pseudomonas aeruginosa,287,Complete,SRRSH1101,,,2021-09-02,PRJNA672835,SAMN16656077,GCF_019857265.1,"Sir Run Run Shaw Hospital, Zhejiang University",OK,Oxford Nanopore MiniION,Unicycler v. 0.4.8,2,1,6833662,66.0,6221,,2018-09-12,China,China:Hangzhou,Homo sapiens,,,ASM1985726v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_019857265.1,"{'accession': 'GCA_019857265.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA672835,KPC-producing Pseudomonas aeruginosa from 6 Hospitals in China from 2016-2019,2021-06-30T13:33:06.694,2021-06-30T00:00:00.000,2020-11-03T20:44:06.643,MIGS.ba.human-associated.6.0,"{'status': 'live', 'when': '2021-06-30T13:33:06.694'}","{'title': 'MIGS Cultured Bacterial/Archaeal sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}, 'comment': 'Keywords: GSC:MIxS;MIGS:6.0'}","{'name': 'Sir Run Run Shaw Hospital, Zhejiang University', 'contacts': [{}]}",,30.26 N 120.21 E,"{'label': 'Sample name', 'value': 'SRRSH1101_hybrid'};{'db': 'SRA', 'value': 'SRS7660938'}",MIGS.ba;MIGS/MIMS/MIMARKS.human-associated,PRJNA672835,"[{""name"": ""strain"", ""value"": ""SRRSH1101""}, {""name"": ""collection_date"", ""value"": ""2018-09-12""}, {""name"": ""env_broad_scale"", ""value"": ""not applicable""}, {""name"": ""env_local_scale"", ""value"": ""not applicable""}, {""name"": ""env_medium"", ""value"": ""not applicable""}, {""name"": ""geo_loc_name"", ""value"": ""China:Hangzhou""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""isol_growth_condt"", ""value"": ""not applicable""}, {""name"": ""lat_lon"", ""value"": ""30.26 N 120.21 E""}, {""name"": ""num_replicons"", ""value"": ""2""}, {""name"": ""ref_biomaterial"", ""value"": ""not applicable""}]",GCF_019857265.1-RS_2025_01_01,NCBI RefSeq,2025-01-01,6381,80,,Pseudomonas aeruginosa,species,v1.2.3,97.74,1.31,10.1049,287,species_match,category_na,na,GCA_001045685.1,99.39,Pseudomonas aeruginosa DSM 50071 = NBRC 12689,6804022,1,4498194,203.7,6833662,SRRSH1101,,2.0,,6381.0,6221.0,80.0,27,PubMLST,463,other,unknown,O4
